z,gamma
-35.28010845122537,0.9554320563602343
-35.27010845122537,0.9554323752646542
-35.26010845122537,0.9554326949865987
-35.25010845122537,0.9554330155279764
-35.240108451225375,0.9554333368906992
-35.23010845122538,0.9554336590766834
-35.22010845122538,0.9554339820878488
-35.21010845122538,0.9554343059261194
-35.20010845122538,0.9554346305934233
-35.190108451225385,0.9554349560916919
-35.18010845122539,0.9554352824228615
-35.17010845122539,0.9554356095888716
-35.16010845122539,0.9554359375916661
-35.15010845122539,0.9554362664331926
-35.140108451225395,0.955436596115403
-35.1301084512254,0.955436926640253
-35.1201084512254,0.9554372580097024
-35.1101084512254,0.9554375902257146
-35.1001084512254,0.9554379232902579
-35.090108451225404,0.9554382572053036
-35.080108451225406,0.955438591972828
-35.07010845122541,0.9554389275948104
-35.06010845122541,0.9554392640732353
-35.05010845122541,0.9554396014100902
-35.040108451225414,0.9554399396073673
-35.030108451225416,0.9554402786670626
-35.02010845122542,0.9554406185911765
-35.01010845122542,0.9554409593817128
-35.00010845122542,0.9554413010406799
-34.990108451225424,0.9554416435700905
-34.980108451225426,0.9554419869719609
-34.97010845122543,0.9554423312483117
-34.96010845122543,0.9554426764011675
-34.95010845122543,0.9554430224325574
-34.940108451225434,0.9554433693445142
-34.930108451225436,0.955443717139075
-34.92010845122544,0.955444065818281
-34.91010845122544,0.9554444153841776
-34.90010845122544,0.9554447658388144
-34.890108451225444,0.955445117184245
-34.880108451225446,0.9554454694225271
-34.87010845122545,0.955445822555723
-34.86010845122545,0.9554461765858988
-34.85010845122545,0.9554465315151249
-34.840108451225454,0.9554468873454758
-34.830108451225456,0.9554472440790305
-34.82010845122546,0.9554476017178717
-34.81010845122546,0.9554479602640868
-34.80010845122546,0.9554483197197673
-34.790108451225464,0.9554486800870087
-34.780108451225466,0.9554490413679109
-34.77010845122547,0.9554494035645781
-34.76010845122547,0.9554497666791186
-34.75010845122547,0.9554501307136454
-34.740108451225474,0.9554504956702748
-34.730108451225476,0.9554508615511285
-34.72010845122548,0.9554512283583316
-34.71010845122548,0.955451596094014
-34.70010845122548,0.9554519647603098
-34.690108451225484,0.9554523343593572
-34.680108451225486,0.9554527048932989
-34.67010845122549,0.9554530763642818
-34.66010845122549,0.9554534487744571
-34.65010845122549,0.9554538221259805
-34.640108451225494,0.955454196421012
-34.630108451225496,0.9554545716617158
-34.6201084512255,0.9554549478502602
-34.6101084512255,0.9554553249888186
-34.6001084512255,0.9554557030795681
-34.590108451225504,0.9554560821246905
-34.580108451225506,0.9554564621263717
-34.57010845122551,0.9554568430868025
-34.56010845122551,0.9554572250081773
-34.55010845122551,0.9554576078926956
-34.540108451225514,0.9554579917425611
-34.530108451225516,0.9554583765599816
-34.52010845122552,0.9554587623471699
-34.51010845122552,0.9554591491063426
-34.50010845122552,0.9554595368397211
-34.490108451225524,0.9554599255495312
-34.480108451225526,0.9554603152380032
-34.47010845122553,0.9554607059073716
-34.46010845122553,0.955461097559876
-34.45010845122553,0.9554614901977593
-34.440108451225534,0.9554618838232699
-34.430108451225536,0.9554622784386605
-34.42010845122554,0.9554626740461881
-34.41010845122554,0.955463070648114
-34.40010845122554,0.9554634682467045
-34.390108451225544,0.9554638668442299
-34.380108451225546,0.9554642664429654
-34.37010845122555,0.955464667045191
-34.36010845122555,0.9554650686531901
-34.35010845122555,0.9554654712692521
-34.340108451225554,0.9554658748956697
-34.330108451225556,0.9554662795347408
-34.32010845122556,0.9554666851887679
-34.31010845122556,0.9554670918600576
-34.30010845122556,0.9554674995509218
-34.290108451225564,0.9554679082636763
-34.280108451225566,0.9554683180006419
-34.27010845122557,0.9554687287641437
-34.26010845122557,0.9554691405565116
-34.25010845122557,0.9554695533800801
-34.240108451225574,0.9554699672371884
-34.230108451225576,0.9554703821301801
-34.22010845122558,0.9554707980614036
-34.21010845122558,0.9554712150332119
-34.20010845122558,0.9554716330479627
-34.19010845122558,0.9554720521080181
-34.180108451225585,0.9554724722157454
-34.17010845122559,0.9554728933735158
-34.16010845122559,0.9554733155837062
-34.15010845122559,0.955473738848697
-34.14010845122559,0.9554741631708744
-34.130108451225595,0.9554745885526286
-34.1201084512256,0.9554750149963545
-34.1101084512256,0.9554754425044523
-34.1001084512256,0.9554758710793263
-34.0901084512256,0.9554763007233859
-34.080108451225605,0.9554767314390449
-34.07010845122561,0.9554771632287222
-34.06010845122561,0.9554775960948415
-34.05010845122561,0.9554780300398309
-34.04010845122561,0.9554784650661234
-34.030108451225615,0.9554789011761569
-34.02010845122562,0.9554793383723739
-34.01010845122562,0.9554797766572218
-34.00010845122562,0.955480216033153
-33.99010845122562,0.9554806565026241
-33.980108451225625,0.9554810980680973
-33.97010845122563,0.955481540732039
-33.96010845122563,0.9554819844969206
-33.95010845122563,0.9554824293652185
-33.94010845122563,0.9554828753394139
-33.930108451225635,0.9554833224219926
-33.92010845122564,0.9554837706154454
-33.91010845122564,0.9554842199222682
-33.90010845122564,0.9554846703449614
-33.89010845122564,0.9554851218860306
-33.880108451225645,0.9554855745479859
-33.87010845122565,0.9554860283333427
-33.86010845122565,0.9554864832446212
-33.85010845122565,0.9554869392843462
-33.84010845122565,0.9554873964550478
-33.830108451225655,0.9554878547592609
-33.82010845122566,0.9554883141995253
-33.81010845122566,0.9554887747783858
-33.80010845122566,0.955489236498392
-33.79010845122566,0.9554896993620986
-33.780108451225665,0.9554901633720652
-33.77010845122567,0.9554906285308564
-33.76010845122567,0.9554910948410419
-33.75010845122567,0.9554915623051959
-33.74010845122567,0.9554920309258984
-33.730108451225675,0.9554925007057337
-33.72010845122568,0.9554929716472912
-33.71010845122568,0.9554934437531657
-33.70010845122568,0.9554939170259568
-33.69010845122568,0.9554943914682691
-33.680108451225685,0.9554948670827123
-33.67010845122569,0.9554953438719008
-33.66010845122569,0.9554958218384547
-33.65010845122569,0.9554963009849988
-33.64010845122569,0.9554967813141629
-33.630108451225695,0.9554972628285822
-33.6201084512257,0.9554977455308962
-33.6101084512257,0.9554982294237507
-33.6001084512257,0.9554987145097955
-33.5901084512257,0.9554992007916862
-33.580108451225705,0.9554996882720832
-33.57010845122571,0.955500176953652
-33.56010845122571,0.9555006668390635
-33.55010845122571,0.9555011579309935
-33.54010845122571,0.955501650232123
-33.530108451225715,0.9555021437451382
-33.52010845122572,0.9555026384727303
-33.51010845122572,0.9555031344175959
-33.50010845122572,0.9555036315824369
-33.49010845122572,0.9555041299699597
-33.480108451225725,0.9555046295828767
-33.47010845122573,0.9555051304239051
-33.46010845122573,0.9555056324957673
-33.45010845122573,0.9555061358011909
-33.44010845122573,0.955506640342909
-33.430108451225735,0.9555071461236596
-33.42010845122574,0.955507653146186
-33.41010845122574,0.9555081614132372
-33.40010845122574,0.9555086709275666
-33.39010845122574,0.9555091816919337
-33.380108451225745,0.9555096937091027
-33.37010845122575,0.9555102069818433
-33.36010845122575,0.9555107215129306
-33.35010845122575,0.9555112373051448
-33.34010845122575,0.9555117543612714
-33.330108451225755,0.9555122726841015
-33.32010845122576,0.9555127922764312
-33.31010845122576,0.9555133131410618
-33.30010845122576,0.9555138352808005
-33.29010845122576,0.9555143586984594
-33.280108451225765,0.9555148833968558
-33.27010845122577,0.955515409378813
-33.26010845122577,0.955515936647159
-33.25010845122577,0.9555164652047275
-33.24010845122577,0.9555169950543575
-33.230108451225775,0.9555175261988936
-33.22010845122578,0.9555180586411854
-33.21010845122578,0.9555185923840883
-33.20010845122578,0.9555191274304627
-33.19010845122578,0.955519663783175
-33.180108451225784,0.9555202014450962
-33.170108451225786,0.9555207404191035
-33.16010845122579,0.9555212807080793
-33.15010845122579,0.9555218223149112
-33.14010845122579,0.9555223652424927
-33.130108451225794,0.9555229094937224
-33.120108451225796,0.9555234550715045
-33.1101084512258,0.9555240019787488
-33.1001084512258,0.9555245502183703
-33.0901084512258,0.9555250997932899
-33.080108451225804,0.9555256507064337
-33.070108451225806,0.9555262029607333
-33.06010845122581,0.9555267565591261
-33.05010845122581,0.9555273115045548
-33.04010845122581,0.9555278677999678
-33.030108451225814,0.9555284254483187
-33.020108451225816,0.9555289844525672
-33.01010845122582,0.955529544815678
-33.00010845122582,0.9555301065406218
-32.99010845122582,0.9555306696303747
-32.980108451225824,0.9555312340879183
-32.970108451225826,0.9555317999162402
-32.96010845122583,0.9555323671183329
-32.95010845122583,0.9555329356971951
-32.94010845122583,0.9555335056558311
-32.930108451225834,0.9555340769972505
-32.920108451225836,0.9555346497244686
-32.91010845122584,0.9555352238405065
-32.90010845122584,0.9555357993483911
-32.89010845122584,0.9555363762511546
-32.880108451225844,0.955536954551835
-32.870108451225846,0.955537534253476
-32.86010845122585,0.955538115359127
-32.85010845122585,0.9555386978718431
-32.84010845122585,0.9555392817946851
-32.830108451225854,0.9555398671307194
-32.820108451225856,0.9555404538830181
-32.81010845122586,0.9555410420546594
-32.80010845122586,0.9555416316487267
-32.79010845122586,0.9555422226683096
-32.780108451225864,0.9555428151165031
-32.770108451225866,0.9555434089964081
-32.76010845122587,0.9555440043111313
-32.75010845122587,0.9555446010637852
-32.74010845122587,0.9555451992574879
-32.730108451225874,0.9555457988953635
-32.720108451225876,0.9555463999805417
-32.71010845122588,0.9555470025161582
-32.70010845122588,0.9555476065053544
-32.69010845122588,0.9555482119512776
-32.680108451225884,0.9555488188570808
-32.670108451225886,0.9555494272259228
-32.66010845122589,0.9555500370609685
-32.65010845122589,0.9555506483653886
-32.64010845122589,0.9555512611423594
-32.630108451225894,0.9555518753950633
-32.620108451225896,0.9555524911266885
-32.6101084512259,0.9555531083404292
-32.6001084512259,0.9555537270394852
-32.5901084512259,0.9555543472270626
-32.580108451225904,0.9555549689063731
-32.570108451225906,0.9555555920806346
-32.56010845122591,0.9555562167530706
-32.55010845122591,0.9555568429269107
-32.54010845122591,0.9555574706053905
-32.530108451225914,0.9555580997917517
-32.520108451225916,0.9555587304892412
-32.51010845122592,0.9555593627011131
-32.50010845122592,0.9555599964306263
-32.49010845122592,0.9555606316810463
-32.480108451225924,0.9555612684556445
-32.470108451225926,0.9555619067576985
-32.46010845122593,0.9555625465904913
-32.45010845122593,0.9555631879573128
-32.44010845122593,0.9555638308614579
-32.430108451225934,0.9555644753062283
-32.420108451225936,0.9555651212949317
-32.41010845122594,0.9555657688308813
-32.40010845122594,0.9555664179173969
-32.39010845122594,0.9555670685578043
-32.380108451225944,0.9555677207554351
-32.370108451225946,0.9555683745136271
-32.36010845122595,0.9555690298357243
-32.35010845122595,0.9555696867250769
-32.34010845122595,0.9555703451850408
-32.330108451225954,0.9555710052189784
-32.320108451225956,0.9555716668302581
-32.31010845122596,0.9555723300222543
-32.30010845122596,0.9555729947983477
-32.29010845122596,0.9555736611619251
-32.28010845122596,0.9555743291163796
-32.270108451225965,0.9555749986651102
-32.26010845122597,0.9555756698115222
-32.25010845122597,0.955576342559027
-32.24010845122597,0.9555770169110427
-32.23010845122597,0.9555776928709927
-32.220108451225975,0.9555783704423074
-32.21010845122598,0.9555790496284229
-32.20010845122598,0.9555797304327819
-32.19010845122598,0.955580412858833
-32.18010845122598,0.9555810969100312
-32.170108451225985,0.9555817825898378
-32.16010845122599,0.9555824699017205
-32.15010845122599,0.9555831588491528
-32.14010845122599,0.9555838494356149
-32.13010845122599,0.955584541664593
-32.120108451225995,0.9555852355395797
-32.110108451226,0.9555859310640742
-32.100108451226,0.9555866282415814
-32.090108451226,0.955587327075613
-32.080108451226,0.955588027569687
-32.070108451226005,0.9555887297273271
-32.06010845122601,0.9555894335520644
-32.05010845122601,0.9555901390474355
-32.04010845122601,0.9555908462169836
-32.03010845122601,0.9555915550642585
-32.020108451226015,0.9555922655928161
-32.01010845122602,0.9555929778062187
-32.00010845122602,0.955593691708035
-31.99010845122602,0.9555944073018403
-31.980108451226023,0.9555951245912162
-31.970108451226025,0.9555958435797504
-31.960108451226027,0.9555965642710376
-31.95010845122603,0.9555972866686783
-31.94010845122603,0.9555980107762801
-31.930108451226033,0.9555987365974566
-31.920108451226035,0.955599464135828
-31.910108451226037,0.9556001933950208
-31.90010845122604,0.9556009243786682
-31.89010845122604,0.9556016570904099
-31.880108451226043,0.9556023915338917
-31.870108451226045,0.9556031277127666
-31.860108451226047,0.9556038656306933
-31.85010845122605,0.9556046052913376
-31.84010845122605,0.9556053466983716
-31.830108451226053,0.9556060898554741
-31.820108451226055,0.95560683476633
-31.810108451226057,0.9556075814346313
-31.80010845122606,0.9556083298640763
