model,nparams,ndata,chi2,logl,nll,logp,bic,aic,rmsd
fitting_results_free_model,327,2766,6601.102241129249,2824.245132635708,-2824.245132635708,2185.816976217937,9192.628747626726,7255.102241129249,2.7064789836528287
fitting_results_free_model_2,370,2766,22444.552154503726,-2286.5636203999893,2286.5636203999893,2307.417049186701,25376.860434026865,23184.552154503726,9.367509246453976
fitting_results_fixed_3,100,2766,48976.53426223359,-8932.484301286768,8932.484301286768,-37.821832213508245,49769.05001345606,49176.53426223359,18.370793046599246
fitting_results_profile_3,31,555,14022.876920289587,-2873.27337566772,2873.27337566772,-19.186409397876115,14218.764931815727,14084.876920289587,26.761215496735854
fitting_results_fixed,101,2766,19969.028694661174,-1667.0828323661885,1667.0828323661885,-27.90876479549025,20769.469603395868,20171.028694661174,7.493068928578301
fitting_results_fixed_2,101,2766,18480.323678578592,-1296.130631860803,1296.130631860803,-37.821832213508245,19280.764587313286,18682.323678578592,6.934455414100785
fitting_results_profile_free,240,2766,22781.9332983781,-2372.905719492484,2372.905719492484,-15.613218117953203,24683.97110131203,23261.9332983781,9.018975969270823
