r_ZnPc_0_00000_90_10,q_ZnPc_0_00000_90_10,r_ZnPc_0_00000_170_10,q_ZnPc_0_00000_170_10
4.1474562,2.8830354,5.1634531,2.1159196
3.8871799,2.9043124,4.7968011,2.1313081
3.4126949,2.9255896,4.5527577,2.1466966
3.0577753,2.9468665,4.1995082,2.1620851
2.9976249,2.9681435,3.9626005,2.1774735
2.9239953,2.9894204,3.9371457,2.192862
2.9687185,3.0106976,3.8501019,2.2082508
2.9062936,3.0319746,3.9601874,2.2236392
2.9179578,3.0532515,3.6423869,2.2390277
2.873256,3.0745287,3.7269633,2.2544162
2.9045837,3.0958056,3.624548,2.2698047
3.0580659,3.1170826,3.4397016,2.2851932
3.0464664,3.1383595,,
3.028892,3.1596367,,
3.1043282,3.1809137,,
