Sample X	Sample Y	Sample Z	Sample Theta	CCD Theta	Beamline Energy	
27.59	29.82	1.5939999999999999	0.0	0.0	280.0	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	280.1	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	280.20000000000005	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	280.30000000000007	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	280.4000000000001	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	280.5000000000001	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	280.60000000000014	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	280.70000000000016	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	280.8000000000002	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	280.9000000000002	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	281.0000000000002	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	281.10000000000025	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	281.2000000000003	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	281.3000000000003	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	281.4000000000003	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	281.50000000000034	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	281.60000000000036	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	281.7000000000004	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	281.8000000000004	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	281.90000000000043	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	282.00000000000045	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	282.1000000000005	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	282.2000000000005	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	282.3000000000005	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	282.40000000000055	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	282.50000000000057	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	282.6000000000006	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	282.7000000000006	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	282.80000000000064	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	282.90000000000066	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	283.0000000000007	0.002
27.59	29.82	1.5939999999999999	0.0	0.0	283.1000000000007	0.002
